Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,6954,6911,1560,2971,529,1878,9219,2254,1431,1647,1110,2009,562,1520,15533
Black Men, 9458,5247,1696,3511,1054,2246,13701,2798,1677,535,1078,9,728,2565,74261
Asian Women,187,1715,51,163,53,176,678,167,143,193,68,293,80,138,2806
Asian Men,411,1655,68,240,129,263,1630,253,304,47,77,118,315,45,7434
White Women, 4921,26408,869,6659,3291,5337,16456,5568,5475,1708,1713,3512,2637,5055,84373
White Men, 9985,26843,1092,9276,7202,8236,32805,6796,9353,878,1716,54,3525,10653,276405
Native Women, 137,293,21,139,163,92,322,122,502,55,60,82,32,124,2443
Native Men, 226,312,20,258,294,136,641,152,660,17,45,1,55,201,6594
Hispanic Women, 1374,5485,213,973,388,846,2642,897,978,677,358,1015,405,767,11266
Hispanic Men, 9540,11527,479,3680,3126,1634,16993,2469,9587,484,1008,2,472,2430,42839
