Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,16835,139935,3119,35544,6179,12309,162443,31296,13336,3120,20571,1,366,3518,7910
Black Men,19026,169411,2178,31760,8573,11274,195870,39782,16333,1982,18860,5,324,4321,15497
Asian Women,2190,26713,300,4035,573,1911,21251,4193,2392,551,1983,0,95,330,2438
Asian Men,2461,31029,291,4786,663,2025,29897,6488,2771,294,2053,2,63,385,3350
White Women,70513,1038797,11025,134239,41831,108103,751889,361662,115179,23067,66469,21,3531,19509,72075
White Men, 78290,1285718,10379,168849,49101,117827,1193137,402191,140488,13537,71052,18,3422,24373,143779
Native Women,800,6166,104,2394,274,594,5855,2634,1616,294,923,0,17,131,713
Native Men,728,7369,71,2173,531,568,8389,2702,1499,145,704,0,25,177,1331
Hispanic Women,6262,56803,823,16413,2154,5804,53538,13505,11467,2013,6619,1,218,927,4384
Hispanic Men,7435,71099,713,17696,3148,6341,78906,17300,14408,935,6428,1,187,1278,9107
