Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women, 19383,127730,2906,41608,23556,28047,240644,42497,15446,3221,27308,1,271,5798,8209
Black Men, 15317,135138,1759,27140,16518,18717,189661,45584,11859,1857,20196,3,238,4424,10446
Asian Women,2860,28016,378,6573,3191,5285,42251,9549,3648,720,3585,1,77,718,3074
Asian Men,2806,31372,384,5418,2283,4621,41635,13188,3124,338,3129,0,65,552,3488
White Women,122012,1247512,19593,218140,224063,360739,1872243,668045,179450,39968,147695,9,3655,50725,119776
White Men,105236,1392709,15442,200122,152240,300447,1893849,663282,145436,19274,140014,10,2837,39412,160984
Native Women,746,5038,93,2184,858,1259,8023,2965,1214,279,973,0,14,169,651
Native Men,552,5357,61,1595,694,969,7702,3007,872,115,662,0,8,170,853
Hispanic Women,7716,58042,1047,20717,9682,16915,99504,25027,12373,493,2004,9463,160,1863,5378
Hispanic Men,6450,66983,816,17075,7166,13736,97342,26678,10221,882,8217,0,153,1621,7268
